Date,Female labour force participation rate,Female underemployment rate,Female unemployment rate,Male labour force participation rate,Male underemployment rate,Male unemployment rate,Total labour force participation rate,Total underemployment rate,Total unemployment rate,Female unemployment rate 1m lag,Female unemployment rate 3m lag,Female unemployment rate 6m lag,Male unemployment rate 1m lag,Male unemployment rate 3m lag,Male unemployment rate 6m lag,Total unemployment rate 1m lag,Total unemployment rate 3m lag,Total unemployment rate 6m lag,Imports from China,Imports from China YoY,Imports from Taiwan,Imports from Taiwan YoY,Imports from USA,Imports from USA YoY,Exports from China,Exports from China YoY,Exports from Taiwan,Exports from Taiwan YoY,Exports from USA,Exports from USA YoY,China CPI YoY,Centa-City Leading Index,HKDUSD,HKDCNY,Private demestic rental index,Private demestic price index,Hang Seng Index,HK best lending rate,Composite CPI total YoY,Federal funds effective rate,Federal funds effective rate 1m lag,Federal funds effective rate 3m lag,Federal funds effective rate 6m lag,Composite CPI total YoY 1m lag,Composite CPI total YoY 3m lag,Composite CPI total YoY 6m lag
1994/1/31,47.2,1.3,1.5,78.2,1.8,1.9,62.7,1.6,1.8,1.7,2.1,2.2,1.9,1.9,1.9,1.8,2,2,32754,33.5,7068,30.9,5469,11.5,26427,51.9,18102,25.4,2041,5.9,21.1,65.55,7.723,0.887632,104.9,107.7,11487,6.5,7.2,3.05,2.96,2.99,3.06,9,9,8.6
1994/2/28,47,1.4,1.2,77.7,1.7,2,62.4,1.6,1.7,1.5,2.1,2.2,1.9,1.9,1.8,1.8,2,2,26952,-1.2,6304,-15.7,6214,-3.7,21980,-20.4,15367,2,1974,-19.1,23.2,69.41,7.729,0.8883415,106,111.6,10410.2002,6.5,8.4,3.25,3.05,3.02,3.03,7.2,8.7,8.7
1994/3/31,46.8,1.4,1.6,77.4,1.9,2.1,62.1,1.7,1.9,1.2,1.7,2.1,2,1.9,1.7,1.7,1.8,1.9,33725,8.7,8642,10.1,6734,8.2,33399,22.6,16597,3.1,2396,1.2,22.4,74.31,7.728,0.887238,107.5,119.4,9029.900391,6.53,8.4,3.34,3.25,2.96,3.09,8.4,9,8.3
1994/4/30,46.6,1,1.5,77,1.8,2.1,61.7,1.5,1.9,1.6,1.5,2.1,2.1,1.9,1.9,1.9,1.8,2,36757,11.2,8771,4.7,6754,-4.3,31803,6.8,19967,9.2,2381,-3,21.7,72.15,7.725,0.889683,117.1,118.2,8966.099609,6.75,8.4,3.56,3.34,3.05,2.99,8.4,7.2,9
1994/5/31,46.5,1,1.7,76.9,1.9,2,61.7,1.5,1.9,1.5,1.2,2.1,2.1,2,1.9,1.9,1.7,2,38044,17.7,9848,22.5,7208,-9.1,32524,11.8,21253,8.5,2375,-3.8,21.3,70.77,7.726,0.892144,119.4,116,9553.599609,6.9,8.6,4.01,3.56,3.25,3.02,8.4,8.4,8.7
1994/6/30,46.9,0.8,1.4,77.2,1.6,1.7,62,1.3,1.6,1.7,1.6,1.7,2,2.1,1.9,1.9,1.9,1.8,40415,25,9316,17.9,9548,48.6,33640,16.5,24159,20,2330,12.9,22.6,69.46,7.729,0.893339,120.1,116.1,8758.400391,7.25,8.4,4.25,4.01,3.34,2.96,8.6,8.4,9
1994/7/31,47,0.9,1.7,77.4,1.4,1.7,62.1,1.2,1.7,1.4,1.5,1.5,1.7,2.1,1.9,1.6,1.9,1.8,41647,10.9,8924,3.8,7621,14.8,33351,5.8,26724,13.9,2267,-2.5,24,66.53,7.725,0.8963015,123.2,113.8,9482.799805,7.25,8.9,4.26,4.25,3.56,3.05,8.4,8.4,7.2
1994/8/31,46.6,0.9,2,77.1,1.2,1.9,61.8,1.1,1.9,1.7,1.7,1.2,1.7,2,2,1.7,1.9,1.7,45115,22,9040,12.9,7761,4.3,33419,16.6,28018,19.1,2230,-0.6,25.8,66.89,7.728,0.902612,123.8,117.7,9929.400391,7.41,9.8,4.47,4.26,4.01,3.25,8.9,8.6,8.4
1994/9/30,46.6,0.9,2.2,77.2,1.2,2.3,61.8,1.1,2.3,2,1.4,1.6,1.9,1.7,2.1,1.9,1.6,1.9,44871,20,9214,19.4,7591,28.6,34354,23.1,27155,13,2469,-0.7,27.3,66.12,7.727,0.9058825,123.5,116.3,9521.200195,7.75,9.2,4.73,4.47,4.25,3.34,9.8,8.4,8.4
1994/10/31,47.1,0.9,2.2,77.2,1.5,2.3,62.1,1.3,2.3,2.2,1.7,1.5,2.3,1.7,2.1,2.3,1.7,1.9,45193,20.3,9877,22.9,8405,29.5,34470,20,29141,18.3,2675,8.3,27.7,65.6,7.728,0.906293,124.4,116.8,9646.299805,7.75,9,4.76,4.73,4.26,3.56,9.2,8.9,8.4
