Date,Unemployment rate,Male unemployment rate,Female unemployment rate,Labour force participation rate,Male labour force participation rate,Female labour force participation rate,Rent index,Unemployment rate 1m lag,Male unemployment rate 1m lag,Female unemployment rate 1m lag,Unemployment rate 3m lag,Male unemployment rate 3m lag,Female unemployment rate 3m lag,Unemployment rate 6m lag,Male unemployment rate 6m lag,Female unemployment rate 6m lag,Labour force participation rate 1m lag,Male labour force participation rate 1m lag,Female labour force participation rate 1m lag,Labour force participation rate 3m lag,Male labour force participation rate 3m lag,Female labour force participation rate 3m lag,Labour force participation rate 6m lag,Male labour force participation rate 6m lag,Female labour force participation rate 6m lag,Population YoY growth rate,CPI YoY,Core CPI YoY,TAIEX Index,TWDUSD
1993/1/31,1.23,1.22,1.25,59.23,73.33,45.04,79.59,1.27,1.14,1.47,1.55,1.45,1.71,1.76,1.64,1.94,59.47,73.56,45.3,59.57,73.55,45.52,59.49,74.03,44.89,0.9,3.65,3.39,3374.56,26.872
1993/2/28,1.32,1.34,1.3,58.4,73.1,43.62,79.94,1.23,1.22,1.25,1.36,1.38,1.34,1.92,1.75,2.21,59.23,73.33,45.04,59.51,73.66,45.27,59.93,74.43,45.38,0.94,3.06,2.36,4384.67,27.232
1993/3/31,1.34,1.29,1.42,58.52,72.92,44.05,80.35,1.32,1.34,1.3,1.27,1.14,1.47,1.72,1.58,1.93,58.4,73.1,43.62,59.47,73.56,45.3,59.6,73.52,45.62,0.93,3.24,2.7,4825.29,27.325
1993/4/30,1.34,1.32,1.38,58.64,72.74,44.46,80.75,1.34,1.29,1.42,1.23,1.22,1.25,1.55,1.45,1.71,58.52,72.92,44.05,59.23,73.33,45.04,59.57,73.55,45.52,0.92,2.77,3.17,4563.52,27.509
1993/5/31,1.29,1.28,1.3,58.59,72.42,44.68,81,1.34,1.32,1.38,1.32,1.34,1.3,1.36,1.38,1.34,58.64,72.74,44.46,58.4,73.1,43.62,59.51,73.66,45.27,0.92,2.08,3.02,4267.89,27.404
1993/6/30,1.4,1.3,1.56,58.38,72.04,44.65,81.2,1.29,1.28,1.3,1.34,1.29,1.42,1.27,1.14,1.47,58.59,72.42,44.68,58.52,72.92,44.05,59.47,73.56,45.3,0.91,4.35,3.23,3995.51,27.527
1993/7/31,1.71,1.43,2.17,58.79,72.63,44.88,81.59,1.4,1.3,1.56,1.34,1.32,1.38,1.23,1.22,1.25,58.38,72.04,44.65,58.64,72.74,44.46,59.23,73.33,45.04,0.91,3.29,3.19,3960.38,27.896
1993/8/31,1.9,1.52,2.51,59.75,72.77,46.65,82.17,1.71,1.43,2.17,1.29,1.28,1.3,1.32,1.34,1.3,58.79,72.63,44.88,58.59,72.42,44.68,58.4,73.1,43.62,0.92,3.33,3,3892.04,28.189
1993/9/30,1.58,1.44,1.8,59.44,72.51,46.29,82.91,1.9,1.52,2.51,1.4,1.3,1.56,1.34,1.29,1.42,59.75,72.77,46.65,58.38,72.04,44.65,58.52,72.92,44.05,0.91,0.74,2.86,3832.69,28.145
1993/10/31,1.58,1.52,1.68,59.15,72.64,45.59,83.15,1.58,1.44,1.8,1.71,1.43,2.17,1.34,1.32,1.38,59.44,72.51,46.29,58.79,72.63,44.88,58.64,72.74,44.46,0.9,1.22,3.18,4131.68,28.109
1993/11/30,1.39,1.37,1.41,58.57,72.54,44.51,83.46,1.58,1.52,1.68,1.9,1.52,2.51,1.29,1.28,1.3,59.15,72.64,45.59,59.75,72.77,46.65,58.59,72.42,44.68,0.88,3.09,3.32,4353.89,28.098
1993/12/31,1.24,1.24,1.25,58.37,72.37,44.29,83.66,1.39,1.37,1.41,1.58,1.44,1.8,1.4,1.3,1.56,58.57,72.54,44.51,59.44,72.51,46.29,58.38,72.04,44.65,0.92,4.63,3.52,6070.56,27.986
1994/1/31,1.2,1.2,1.21,58.8,72.71,44.79,83.93,1.24,1.24,1.25,1.58,1.52,1.68,1.71,1.43,2.17,58.37,72.37,44.29,59.15,72.64,45.59,58.79,72.63,44.88,0.94,2.9,2.64,6115.12,27.784
1994/2/28,1.66,1.69,1.61,57.97,72.23,43.61,84.34,1.2,1.2,1.21,1.39,1.37,1.41,1.9,1.52,2.51,58.8,72.71,44.79,58.57,72.54,44.51,59.75,72.77,46.65,0.92,3.93,4.51,5414.64,27.611
1994/3/31,1.52,1.64,1.34,59,72.67,45.25,84.77,1.66,1.69,1.61,1.24,1.24,1.25,1.58,1.44,1.8,57.97,72.23,43.61,58.37,72.37,44.29,59.44,72.51,46.29,0.94,3.31,3.5,5249.22,27.208
1994/4/30,1.38,1.4,1.34,58.67,72.44,44.82,84.91,1.52,1.64,1.34,1.2,1.2,1.21,1.58,1.52,1.68,59,72.67,45.25,58.8,72.71,44.79,59.15,72.64,45.59,0.94,3.06,3.15,5737.33,27.112
1994/5/31,1.43,1.48,1.35,58.63,72.11,45.06,84.98,1.38,1.4,1.34,1.66,1.69,1.61,1.39,1.37,1.41,58.67,72.44,44.82,57.97,72.23,43.61,58.57,72.54,44.51,0.95,4.38,3.53,5891.56,27.495
1994/6/30,1.53,1.52,1.56,58.48,72.02,44.87,85.12,1.43,1.48,1.35,1.52,1.64,1.34,1.24,1.24,1.25,58.63,72.11,45.06,59,72.67,45.25,58.37,72.37,44.29,0.97,2.13,3.36,5932.6,27.802
1994/7/31,1.85,1.57,2.31,59.21,72.73,45.6,85.53,1.53,1.52,1.56,1.38,1.4,1.34,1.2,1.2,1.21,58.48,72.02,44.87,58.67,72.44,44.82,58.8,72.71,44.79,0.94,4.16,3.6,6720.05,27.401
1994/8/31,1.99,1.69,2.46,59.85,72.8,46.82,85.87,1.85,1.57,2.31,1.43,1.48,1.35,1.66,1.69,1.61,59.21,72.73,45.6,58.63,72.11,45.06,57.97,72.23,43.61,0.95,7.04,3.82,7008.11,27.304
1994/9/30,1.65,1.58,1.77,59.06,72.09,45.94,86.16,1.99,1.69,2.46,1.53,1.52,1.56,1.52,1.64,1.34,59.85,72.8,46.82,58.48,72.02,44.87,59,72.67,45.25,0.94,6.69,3.22,7091.13,27.017
1994/10/31,1.62,1.53,1.77,59.35,72.44,46.18,86.35,1.65,1.58,1.77,1.85,1.57,2.31,1.38,1.4,1.34,59.06,72.09,45.94,59.21,72.73,45.6,58.67,72.44,44.82,0.95,5.07,2.94,6526.47,26.83
1994/11/30,1.48,1.47,1.5,59.28,72.46,46.01,86.56,1.62,1.53,1.77,1.99,1.69,2.46,1.43,1.48,1.35,59.35,72.44,46.18,59.85,72.8,46.82,58.63,72.11,45.06,0.96,3.88,2.89,6363.72,26.844
1994/12/31,1.41,1.34,1.53,59.22,72.52,45.83,86.69,1.48,1.47,1.5,1.65,1.58,1.77,1.53,1.52,1.56,59.28,72.46,46.01,59.06,72.09,45.94,58.48,72.02,44.87,0.87,2.66,2.79,7124.66,27.056
1995/1/31,1.38,1.3,1.51,59.25,72.83,45.59,87.05,1.41,1.34,1.53,1.62,1.53,1.77,1.85,1.57,2.31,59.22,72.52,45.83,59.35,72.44,46.18,59.21,72.73,45.6,0.88,5.24,3.76,6307.85,27.08
1995/2/28,1.7,1.74,1.64,58.82,72.42,45.14,87.21,1.38,1.3,1.51,1.48,1.47,1.5,1.99,1.69,2.46,59.25,72.83,45.59,59.28,72.46,46.01,59.85,72.8,46.82,0.87,3.45,1.94,6509.33,27.031
1995/3/31,1.53,1.63,1.35,58.57,72.17,44.89,87.64,1.7,1.74,1.64,1.41,1.34,1.53,1.65,1.58,1.77,58.82,72.42,45.14,59.22,72.52,45.83,59.06,72.09,45.94,0.85,3.87,3.05,6524,26.847
1995/4/30,1.53,1.63,1.38,58.6,72.13,45.03,87.83,1.53,1.63,1.35,1.38,1.3,1.51,1.62,1.53,1.77,58.57,72.17,44.89,59.25,72.83,45.59,59.35,72.44,46.18,0.86,4.44,3.59,5803.78,26.217
1995/5/31,1.63,1.66,1.58,58.51,71.56,45.44,88.04,1.53,1.63,1.38,1.7,1.74,1.64,1.48,1.47,1.5,58.6,72.13,45.03,58.82,72.42,45.14,59.28,72.46,46.01,0.85,3.28,3.42,5674.55,26.22
